Customer ID,Name,Surname,Gender,Age,Region,Job,Balance
1.00E+08,Simon,Walsh,Male,21,England,White Collar,113810
4.00E+08,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,36920
1.00E+08,Liam,Brown,Male,46,England,White Collar,101537
3.00E+08,Trevor,Parr,Male,32,Wales,White Collar,1422
1.00E+08,Deirdre,Pullman,Female,38,England,Blue Collar,35640
3.00E+08,Ava,Coleman,Female,30,Wales,Blue Collar,122444
1.00E+08,Dorothy,Thomson,Female,34,England,Blue Collar,42880
2.00E+08,Lisa,Knox,Female,48,Scotland,Other,36680
3.00E+08,Ruth,Campbell,Female,33,Wales,White Collar,74284
1.00E+08,Dominic,Parr,Male,42,England,White Collar,10912
1.00E+08,Dominic,Lewis,Male,40,England,White Collar,39668
1.00E+08,Benjamin,Grant,Male,39,England,White Collar,32282
1.00E+08,Ryan,MacDonald,Male,24,England,White Collar,40782
2.00E+08,Thomas,Lawrence,Male,46,Scotland,Other,48791
3.00E+08,Madeleine,Marshall,Female,36,Wales,Other,2846
1.00E+08,Nicholas,Newman,Male,42,England,White Collar,2117
2.00E+08,Grace,Hill,Female,31,Scotland,Other,10356
2.00E+08,Samantha,Coleman,Female,42,Scotland,Other,3802
1.00E+08,William,Ince,Male,40,England,Blue Collar,65535
1.00E+08,Audrey,Jones,Female,46,England,Blue Collar,11463
3.00E+08,Boris,Johnston,Male,37,Wales,Other,31779
2.00E+08,Jason,Butler,Male,58,Scotland,Blue Collar,21253
3.00E+08,Deirdre,McDonald,Female,41,Wales,White Collar,66786
2.00E+08,Carl,Quinn,Male,52,Scotland,Blue Collar,6581
1.00E+08,Jennifer,Hughes,Female,38,England,White Collar,20505
2.00E+08,Richard,Fraser,Male,55,Scotland,Blue Collar,43249
4.00E+08,Rachel,McGrath,Female,37,Northern Ireland,White Collar,3967
1.00E+08,Alison,Fisher,Female,33,England,White Collar,3429
2.00E+08,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,20516
1.00E+08,Luke,Wilkins,Male,42,England,White Collar,10814
1.00E+08,Megan,Bell,Female,25,England,White Collar,38890
3.00E+08,Warren,Edmunds,Male,30,Wales,White Collar,14094
2.00E+08,Grace,Chapman,Female,58,Scotland,Other,25865
1.00E+08,Jake,Wilson,Male,26,England,Other,5834
1.00E+08,Karen,Dyer,Female,34,England,Blue Collar,77810
1.00E+08,Yvonne,Thomson,Female,36,England,White Collar,31681
1.00E+08,Sophie,Gill,Female,33,England,White Collar,20504
1.00E+08,Robert,Cornish,Male,31,England,Other,5688
2.00E+08,Luke,Martin,Male,35,Scotland,Blue Collar,12849
2.00E+08,Gavin,Pullman,Male,59,Scotland,Other,114456
1.00E+08,Edward,Terry,Male,27,England,Blue Collar,51413
1.00E+08,Diane,Black,Female,35,England,White Collar,9696
2.00E+08,Jake,Morgan,Male,49,Scotland,Blue Collar,114021
4.00E+08,Yvonne,Churchill,Female,22,Northern Ireland,Other,107728
1.00E+08,Dorothy,Johnston,Female,53,England,Other,2893
2.00E+08,Lisa,Berry,Female,47,Scotland,Other,54590
2.00E+08,Leah,Nolan,Female,32,Scotland,Other,59502
4.00E+08,Carolyn,Lewis,Female,19,Northern Ireland,Other,14338
1.00E+08,Simon,Ball,Male,27,England,White Collar,23922
1.00E+08,Charles,Nolan,Male,39,England,White Collar,39034
1.00E+08,Sophie,Wilkins,Female,29,England,Blue Collar,1401
1.00E+08,Kimberly,James,Female,31,England,Blue Collar,41626
1.00E+08,Madeleine,Ellison,Female,37,England,Other,47552
1.00E+08,Irene,MacLeod,Female,32,England,White Collar,24188
1.00E+08,Cameron,Taylor,Male,24,England,White Collar,4912
1.00E+08,Liam,Gibson,Male,40,England,White Collar,58391
1.00E+08,Donna,Knox,Female,33,England,Blue Collar,58034
1.00E+08,Piers,Morgan,Male,44,England,White Collar,35831
1.00E+08,Phil,Randall,Male,39,England,Other,1880
1.00E+08,Ryan,White,Male,47,England,White Collar,23376
1.00E+08,Kylie,Howard,Female,35,England,White Collar,4586
1.00E+08,Fiona,Bell,Female,47,England,Other,20337
1.00E+08,Kevin,Gibson,Male,47,England,White Collar,22415
1.00E+08,Bernadette,Gibson,Female,39,England,White Collar,40305
2.00E+08,Maria,Hughes,Female,50,Scotland,Other,18091
2.00E+08,Piers,Burgess,Male,43,Scotland,Blue Collar,20077
2.00E+08,Dan,Ellison,Male,47,Scotland,Blue Collar,5300
2.00E+08,Lucas,Piper,Male,61,Scotland,Blue Collar,7162
2.00E+08,Jason,Sharp,Male,53,Scotland,Blue Collar,35751
2.00E+08,Kevin,Parr,Male,45,Scotland,Other,15014
2.00E+08,Dan,Mills,Male,49,Scotland,Blue Collar,70041
2.00E+08,Angela,Roberts,Female,51,Scotland,Other,35937
3.00E+08,Hannah,White,Female,36,Wales,White Collar,41442
3.00E+08,Oliver,Simpson,Male,45,Wales,Other,36697
4.00E+08,Olivia,Dowd,Female,30,Northern Ireland,White Collar,21
2.00E+08,Michael,Hemmings,Male,44,Scotland,Blue Collar,58238
